name,latitude,longitude,locality,region,postcode,address,date_closed
Aliviar Coffeehouse,45.53581458643373,-122.62088514704928,Portland,OR,97212,4128 NE Sandy Blvd,2016-04-16
Dans Coffee House,45.50794299098837,-122.62449266488716,Portland,OR,97214,,
Oakgrove Coffee House,45.416629791259766,-122.640869140625,Portland,OR,97267,2144 SE Oak Grove Blvd,
World Cup Coffee & Tea House,45.52839933839653,-122.6805921169021,Portland,OR,97209,721 NW 9th Ave,
Park Place Coffee,45.51373670755264,-122.4754107043663,Portland,OR,97233,1288 SE 182nd Ave,
Sweet Things Bakehouse & Coffee Bar,45.55898308753967,-122.6616683,Portland,OR,97211,4943 NE M L King Blvd,2012-02-29
Coffeetown,45.51553779868944,-122.67546580658201,Portland,OR,97204,101 SW Main St,
Annies Coffee Company,45.51210021972656,-122.68316650390625,Portland,OR,97201,1728 SW Broadway,
Essence Coffee & Tea,45.48443816866568,-122.67601355193887,Portland,OR,97239,5331 SW Macadam Ave,
Coffee Amerigo,45.51595242522818,-122.67588425057289,Portland,OR,97204,1000 SW 3rd Ave,
Never Coffee,45.516599408632956,-122.61871077193587,Portland,OR,97214,4243 SE Belmont St,
Cortado Coffee,45.53062,-122.658508,Portland,OR,97232,1094 NE 7th Ave,
Cotta Coffee Cart,45.509659,-122.698675,Portland,OR,97201,1922 SW Elm St,
Village Coffee,45.46833563736485,-122.7126610179885,Portland,OR,97219,7781 SW Capitol Hwy,
Muddys Coffeehouse,45.548781,-122.67536723,Portland,OR,97227,3560 N Mississippi Ave,2014-05-26
Coffee Beach Cafe,45.60798806028345,-122.67741949401741,Portland,OR,,12010 N Jantzen Dr,
Peets Coffee & Tea,45.48475182954762,-122.75570098596681,Portland,OR,97225,,
Spielman Coffee & Bagels,45.468681711387255,-122.71082296279101,Portland,OR,97219,7713 SW Capitol Hwy,
Case Study Coffee Roasters,45.516601,-122.67703300000001,Portland,OR,,932 SW 4th Ave,
World Cup Coffee & Tea,45.52631112484447,-122.68922344317693,Portland,OR,97209,1740 NW Glisan St,2023-05-29
Refuge Coffee House,45.47984375690294,-122.56809280479078,Portland,OR,97266,9217 SE Foster Rd,
Peets Coffee & Tea,45.5903626081006,-122.59358167648317,Portland,OR,97218,Concourse D,
Tinys Coffee North East,45.537653,-122.661841,Portland,OR,97212,2031 NE M L King Blvd,
Buckman Coffee Factory,45.51359394118351,-122.65461402069549,Portland,OR,,1005 SE Main,
